delta,alpha,steady_time
0.08163265306122448,-0.41836734693877553,103.31
0.08163265306122448,-0.37755102040816324,50.08
0.08163265306122448,-0.33673469387755106,145.89000000000001
0.08163265306122448,-0.29591836734693877,129.12
0.08163265306122448,-0.25510204081632654,81.65
0.08163265306122448,-0.2142857142857143,112.46000000000001
0.08163265306122448,-0.17346938775510207,149.99
0.08163265306122448,-0.13265306122448983,106.5
0.08163265306122448,-0.0918367346938776,82.0
0.08163265306122448,-0.05102040816326536,69.41
0.08163265306122448,-0.010204081632653073,61.18
0.08163265306122448,0.030612244897959107,46.29
0.08163265306122448,0.0714285714285714,149.99
0.08163265306122448,0.11224489795918358,72.48
0.08163265306122448,0.15306122448979587,65.54
0.08163265306122448,0.19387755102040816,58.61
0.08163265306122448,0.23469387755102034,64.03
0.08163265306122448,0.2755102040816326,64.32000000000001
0.08163265306122448,0.3163265306122448,62.08
0.08163265306122448,0.3571428571428571,94.03
0.08163265306122448,0.3979591836734693,96.4
0.08163265306122448,0.43877551020408156,95.28
0.08163265306122448,0.47959183673469385,89.2
0.08163265306122448,0.5204081632653061,88.99
0.08163265306122448,0.5612244897959182,88.88
0.08163265306122448,0.6020408163265305,88.39
0.08163265306122448,0.6428571428571428,87.53
0.08163265306122448,0.6836734693877551,87.32000000000001
0.08163265306122448,0.7244897959183672,87.29
0.08163265306122448,0.7653061224489794,87.27
0.08163265306122448,0.8061224489795917,87.18
0.08163265306122448,0.846938775510204,87.02
0.08163265306122448,0.8877551020408163,86.83
0.08163265306122448,0.9285714285714284,86.63
0.08163265306122448,0.9693877551020407,86.03
0.08163265306122448,1.010204081632653,85.86
0.08163265306122448,1.0510204081632653,85.74
0.08163265306122448,1.0918367346938773,85.66
0.08163265306122448,1.1326530612244896,85.60000000000001
0.08163265306122448,1.173469387755102,85.55
0.08163265306122448,1.2142857142857142,85.51
0.08163265306122448,1.2551020408163265,85.47
0.08163265306122448,1.2959183673469385,85.43
0.08163265306122448,1.3367346938775508,85.38
0.08163265306122448,1.3775510204081631,85.32000000000001
0.08163265306122448,1.4183673469387754,85.26
0.08163265306122448,1.4591836734693877,85.19
0.08163265306122448,1.5,85.12
0.09183673469387754,-0.5,93.24
0.09183673469387754,-0.45918367346938777,109.0
0.09183673469387754,-0.41836734693877553,99.43
0.09183673469387754,-0.37755102040816324,118.27
0.09183673469387754,-0.33673469387755106,127.7
0.09183673469387754,-0.29591836734693877,129.44
0.09183673469387754,-0.25510204081632654,149.99
0.09183673469387754,-0.2142857142857143,27.0
0.09183673469387754,-0.17346938775510207,104.25
0.09183673469387754,-0.13265306122448983,105.95
0.09183673469387754,-0.0918367346938776,57.18
0.09183673469387754,-0.05102040816326536,65.33
0.09183673469387754,-0.010204081632653073,57.81
0.09183673469387754,0.030612244897959107,43.0
0.09183673469387754,0.0714285714285714,85.14
0.09183673469387754,0.11224489795918358,63.54
0.09183673469387754,0.15306122448979587,63.67
0.09183673469387754,0.19387755102040816,49.42
0.09183673469387754,0.23469387755102034,58.34
0.09183673469387754,0.2755102040816326,51.56
0.09183673469387754,0.3163265306122448,54.77
0.09183673469387754,0.3571428571428571,9.75
0.09183673469387754,0.3979591836734693,86.85000000000001
0.09183673469387754,0.43877551020408156,85.26
0.09183673469387754,0.47959183673469385,79.67
0.09183673469387754,0.5204081632653061,83.68
0.09183673469387754,0.5612244897959182,83.60000000000001
0.09183673469387754,0.6020408163265305,82.82000000000001
0.09183673469387754,0.6428571428571428,77.71000000000001
0.09183673469387754,0.6836734693877551,77.5
0.09183673469387754,0.7244897959183672,82.03
0.09183673469387754,0.7653061224489794,81.98
0.09183673469387754,0.8061224489795917,81.51
0.09183673469387754,0.846938775510204,81.32000000000001
0.09183673469387754,0.8877551020408163,76.49
0.09183673469387754,0.9285714285714284,76.27
