delta,gamma,steady_time
0.1816326530612245,2.3979591836734695,47.0
0.1816326530612245,2.4387755102040813,46.6
0.1816326530612245,2.479591836734694,46.2
0.1816326530612245,2.520408163265306,45.45
0.1816326530612245,2.561224489795918,45.050000000000004
0.1816326530612245,2.6020408163265305,44.7
0.1816326530612245,2.642857142857143,44.400000000000006
0.1816326530612245,2.683673469387755,43.7
0.1816326530612245,2.724489795918367,43.400000000000006
0.1816326530612245,2.7653061224489797,43.150000000000006
0.1816326530612245,2.8061224489795915,42.900000000000006
0.1816326530612245,2.8469387755102042,42.300000000000004
0.1816326530612245,2.887755102040816,41.95
0.1816326530612245,2.9285714285714284,41.7
0.1816326530612245,2.9693877551020407,41.5
0.1816326530612245,3.010204081632653,41.300000000000004
0.1816326530612245,3.0510204081632653,41.1
0.1816326530612245,3.091836734693877,40.6
0.1816326530612245,3.13265306122449,40.45
0.1816326530612245,3.1734693877551017,47.75
0.1816326530612245,3.2142857142857144,47.1
0.1816326530612245,3.2551020408163263,46.900000000000006
0.1816326530612245,3.2959183673469385,46.7
0.1816326530612245,3.336734693877551,46.5
0.1816326530612245,3.377551020408163,46.25
0.1816326530612245,3.4183673469387754,46.0
0.1816326530612245,3.4591836734693877,45.400000000000006
0.1816326530612245,3.5,45.25
0.18979591836734694,1.5,21.900000000000002
0.18979591836734694,1.5408163265306123,23.400000000000002
0.18979591836734694,1.5816326530612246,23.5
0.18979591836734694,1.6224489795918366,23.450000000000003
0.18979591836734694,1.663265306122449,23.35
0.18979591836734694,1.7040816326530612,24.8
0.18979591836734694,1.7448979591836735,24.85
0.18979591836734694,1.7857142857142856,24.75
0.18979591836734694,1.8265306122448979,26.25
0.18979591836734694,1.8673469387755102,26.1
0.18979591836734694,1.9081632653061225,27.55
0.18979591836734694,1.9489795918367347,28.950000000000003
0.18979591836734694,1.989795918367347,31.75
0.18979591836734694,2.0306122448979593,49.45
0.18979591836734694,2.071428571428571,45.550000000000004
0.18979591836734694,2.1122448979591835,43.650000000000006
0.18979591836734694,2.1530612244897958,42.400000000000006
0.18979591836734694,2.193877551020408,41.550000000000004
0.18979591836734694,2.2346938775510203,43.75
0.18979591836734694,2.2755102040816326,48.550000000000004
0.18979591836734694,2.316326530612245,48.2
0.18979591836734694,2.357142857142857,47.650000000000006
0.18979591836734694,2.3979591836734695,46.900000000000006
0.18979591836734694,2.4387755102040813,46.5
0.18979591836734694,2.479591836734694,46.050000000000004
0.18979591836734694,2.520408163265306,45.35
0.18979591836734694,2.561224489795918,45.0
0.18979591836734694,2.6020408163265305,44.650000000000006
0.18979591836734694,2.642857142857143,43.900000000000006
0.18979591836734694,2.683673469387755,43.6
0.18979591836734694,2.724489795918367,43.300000000000004
0.18979591836734694,2.7653061224489797,43.050000000000004
