gamma,omega,steady_time
1.8265306122448979,1.6938775510204083,48.7
1.8265306122448979,1.7857142857142858,86.83
1.8265306122448979,1.8775510204081634,46.42
1.8265306122448979,1.969387755102041,149.99
1.8265306122448979,2.0612244897959187,149.99
1.8265306122448979,2.1530612244897958,149.99
1.8265306122448979,2.2448979591836737,149.99
1.8265306122448979,2.336734693877551,122.21000000000001
1.8265306122448979,2.428571428571429,33.24
1.8265306122448979,2.5204081632653064,149.99
1.8265306122448979,2.612244897959184,149.99
1.8265306122448979,2.7040816326530615,149.99
1.8265306122448979,2.795918367346939,149.99
1.8265306122448979,2.8877551020408165,149.99
1.8265306122448979,2.979591836734694,18.71
1.8265306122448979,3.0714285714285716,149.99
1.8265306122448979,3.163265306122449,36.57
1.8265306122448979,3.2551020408163267,52.17
1.8265306122448979,3.3469387755102042,36.44
1.8265306122448979,3.438775510204082,22.97
1.8265306122448979,3.5306122448979593,34.2
1.8265306122448979,3.622448979591837,26.86
1.8265306122448979,3.7142857142857144,21.78
1.8265306122448979,3.806122448979592,19.29
1.8265306122448979,3.8979591836734695,16.9
1.8265306122448979,3.989795918367347,19.44
1.8265306122448979,4.081632653061225,24.16
1.8265306122448979,4.173469387755102,21.95
1.8265306122448979,4.26530612244898,21.64
1.8265306122448979,4.357142857142858,19.77
1.8265306122448979,4.448979591836735,21.8
1.8265306122448979,4.540816326530613,21.650000000000002
1.8265306122448979,4.63265306122449,19.6
1.8265306122448979,4.724489795918368,19.490000000000002
1.8265306122448979,4.816326530612245,19.5
1.8265306122448979,4.908163265306123,17.37
1.8265306122448979,5.0,19.580000000000002
1.8673469387755102,0.5,60.370000000000005
1.8673469387755102,0.5918367346938775,149.99
1.8673469387755102,0.6836734693877551,56.52
1.8673469387755102,0.7755102040816326,29.72
1.8673469387755102,0.8673469387755102,149.99
1.8673469387755102,0.9591836734693877,149.99
1.8673469387755102,1.0510204081632653,149.99
1.8673469387755102,1.1428571428571428,42.39
1.8673469387755102,1.2346938775510203,53.9
1.8673469387755102,1.3265306122448979,44.65
1.8673469387755102,1.4183673469387754,45.800000000000004
1.8673469387755102,1.5102040816326532,49.53
1.8673469387755102,1.6020408163265307,44.99
1.8673469387755102,1.6938775510204083,47.58
1.8673469387755102,1.7857142857142858,48.19
1.8673469387755102,1.8775510204081634,72.08
1.8673469387755102,1.969387755102041,149.99
1.8673469387755102,2.0612244897959187,149.99
1.8673469387755102,2.1530612244897958,149.99
1.8673469387755102,2.2448979591836737,103.7
1.8673469387755102,2.336734693877551,143.68
1.8673469387755102,2.428571428571429,149.99
1.8673469387755102,2.5204081632653064,149.99
1.8673469387755102,2.612244897959184,19.490000000000002
1.8673469387755102,2.7040816326530615,149.99
1.8673469387755102,2.795918367346939,21.79
1.8673469387755102,2.8877551020408165,149.99
1.8673469387755102,2.979591836734694,18.55
1.8673469387755102,3.0714285714285716,149.99
1.8673469387755102,3.163265306122449,33.67
1.8673469387755102,3.2551020408163267,59.25
1.8673469387755102,3.3469387755102042,40.15
1.8673469387755102,3.438775510204082,23.29
1.8673469387755102,3.5306122448979593,29.78
1.8673469387755102,3.622448979591837,27.0
1.8673469387755102,3.7142857142857144,24.22
1.8673469387755102,3.806122448979592,19.35
1.8673469387755102,3.8979591836734695,16.91
1.8673469387755102,3.989795918367347,17.26
1.8673469387755102,4.081632653061225,24.09
1.8673469387755102,4.173469387755102,21.95
1.8673469387755102,4.26530612244898,21.62
1.8673469387755102,4.357142857142858,19.75
1.8673469387755102,4.448979591836735,21.8
1.8673469387755102,4.540816326530613,21.650000000000002
1.8673469387755102,4.63265306122449,19.59
1.8673469387755102,4.724489795918368,19.47
1.8673469387755102,4.816326530612245,19.47
1.8673469387755102,4.908163265306123,17.34
1.8673469387755102,5.0,17.39
1.9081632653061225,0.5,103.47
1.9081632653061225,0.5918367346938775,149.99
1.9081632653061225,0.6836734693877551,149.99
1.9081632653061225,0.7755102040816326,30.0
1.9081632653061225,0.8673469387755102,149.99
1.9081632653061225,0.9591836734693877,149.99
1.9081632653061225,1.0510204081632653,63.46
1.9081632653061225,1.1428571428571428,63.13
1.9081632653061225,1.2346938775510203,50.980000000000004
1.9081632653061225,1.3265306122448979,42.42
1.9081632653061225,1.4183673469387754,45.1
1.9081632653061225,1.5102040816326532,48.980000000000004
1.9081632653061225,1.6020408163265307,45.52
1.9081632653061225,1.6938775510204083,49.52
1.9081632653061225,1.7857142857142858,46.45
1.9081632653061225,1.8775510204081634,79.39
1.9081632653061225,1.969387755102041,40.19
1.9081632653061225,2.0612244897959187,25.98
1.9081632653061225,2.1530612244897958,149.99
1.9081632653061225,2.2448979591836737,149.99
1.9081632653061225,2.336734693877551,149.99
1.9081632653061225,2.428571428571429,131.19
1.9081632653061225,2.5204081632653064,149.99
1.9081632653061225,2.612244897959184,149.99
1.9081632653061225,2.7040816326530615,149.99
1.9081632653061225,2.795918367346939,149.99
1.9081632653061225,2.8877551020408165,149.99
1.9081632653061225,2.979591836734694,149.99
1.9081632653061225,3.0714285714285716,149.99
1.9081632653061225,3.163265306122449,46.14
1.9081632653061225,3.2551020408163267,43.65
1.9081632653061225,3.3469387755102042,27.19
1.9081632653061225,3.438775510204082,26.63
1.9081632653061225,3.5306122448979593,29.44
1.9081632653061225,3.622448979591837,27.16
1.9081632653061225,3.7142857142857144,25.88
1.9081632653061225,3.806122448979592,21.39
1.9081632653061225,3.8979591836734695,16.93
1.9081632653061225,3.989795918367347,17.1
1.9081632653061225,4.081632653061225,22.080000000000002
1.9081632653061225,4.173469387755102,21.95
1.9081632653061225,4.26530612244898,21.6
1.9081632653061225,4.357142857142858,19.72
1.9081632653061225,4.448979591836735,21.79
1.9081632653061225,4.540816326530613,21.650000000000002
1.9081632653061225,4.63265306122449,19.59
1.9081632653061225,4.724489795918368,19.46
1.9081632653061225,4.816326530612245,19.45
1.9081632653061225,4.908163265306123,19.48
1.9081632653061225,5.0,17.35
1.9489795918367347,0.5,144.06
1.9489795918367347,0.5918367346938775,149.99
1.9489795918367347,0.6836734693877551,149.99
1.9489795918367347,0.7755102040816326,32.61
1.9489795918367347,0.8673469387755102,149.99
1.9489795918367347,0.9591836734693877,149.99
1.9489795918367347,1.0510204081632653,149.99
1.9489795918367347,1.1428571428571428,54.51
1.9489795918367347,1.2346938775510203,46.99
1.9489795918367347,1.3265306122448979,37.87
1.9489795918367347,1.4183673469387754,41.04
1.9489795918367347,1.5102040816326532,49.53
1.9489795918367347,1.6020408163265307,46.11
1.9489795918367347,1.6938775510204083,46.93
1.9489795918367347,1.7857142857142858,68.57000000000001
1.9489795918367347,1.8775510204081634,53.32
1.9489795918367347,1.969387755102041,134.92000000000002
1.9489795918367347,2.0612244897959187,80.52
1.9489795918367347,2.1530612244897958,149.99
1.9489795918367347,2.2448979591836737,149.99
1.9489795918367347,2.336734693877551,149.99
1.9489795918367347,2.428571428571429,68.5
1.9489795918367347,2.5204081632653064,149.99
1.9489795918367347,2.612244897959184,149.99
1.9489795918367347,2.7040816326530615,149.99
1.9489795918367347,2.795918367346939,28.490000000000002
1.9489795918367347,2.8877551020408165,149.99
1.9489795918367347,2.979591836734694,18.57
1.9489795918367347,3.0714285714285716,15.26
1.9489795918367347,3.163265306122449,31.7
1.9489795918367347,3.2551020408163267,48.58
1.9489795918367347,3.3469387755102042,25.71
1.9489795918367347,3.438775510204082,32.22
1.9489795918367347,3.5306122448979593,29.150000000000002
1.9489795918367347,3.622448979591837,27.38
1.9489795918367347,3.7142857142857144,26.0
1.9489795918367347,3.806122448979592,21.48
1.9489795918367347,3.8979591836734695,18.85
1.9489795918367347,3.989795918367347,16.96
1.9489795918367347,4.081632653061225,21.98
1.9489795918367347,4.173469387755102,21.95
1.9489795918367347,4.26530612244898,21.580000000000002
1.9489795918367347,4.357142857142858,19.69
1.9489795918367347,4.448979591836735,21.79
1.9489795918367347,4.540816326530613,21.650000000000002
1.9489795918367347,4.63265306122449,19.59
1.9489795918367347,4.724489795918368,19.45
1.9489795918367347,4.816326530612245,19.43
1.9489795918367347,4.908163265306123,17.29
1.9489795918367347,5.0,17.32
1.989795918367347,0.5,77.68
1.989795918367347,0.5918367346938775,149.99
1.989795918367347,0.6836734693877551,149.99
1.989795918367347,0.7755102040816326,34.83
1.989795918367347,0.8673469387755102,149.99
1.989795918367347,0.9591836734693877,40.39
1.989795918367347,1.0510204081632653,149.99
1.989795918367347,1.1428571428571428,49.480000000000004
1.989795918367347,1.2346938775510203,42.29
1.989795918367347,1.3265306122448979,40.09
1.989795918367347,1.4183673469387754,40.43
1.989795918367347,1.5102040816326532,48.67
1.989795918367347,1.6020408163265307,15.860000000000001
1.989795918367347,1.6938775510204083,45.160000000000004
1.989795918367347,1.7857142857142858,50.370000000000005
1.989795918367347,1.8775510204081634,63.06
1.989795918367347,1.969387755102041,74.29
1.989795918367347,2.0612244897959187,149.99
1.989795918367347,2.1530612244897958,149.99
1.989795918367347,2.2448979591836737,149.99
1.989795918367347,2.336734693877551,149.99
1.989795918367347,2.428571428571429,77.9
1.989795918367347,2.5204081632653064,149.99
1.989795918367347,2.612244897959184,149.99
1.989795918367347,2.7040816326530615,12.82
1.989795918367347,2.795918367346939,58.45
1.989795918367347,2.8877551020408165,8.35
1.989795918367347,2.979591836734694,18.47
1.989795918367347,3.0714285714285716,15.790000000000001
1.989795918367347,3.163265306122449,54.24
1.989795918367347,3.2551020408163267,53.18
1.989795918367347,3.3469387755102042,9.8
1.989795918367347,3.438775510204082,32.35
1.989795918367347,3.5306122448979593,27.34
1.989795918367347,3.622448979591837,31.76
1.989795918367347,3.7142857142857144,26.14
1.989795918367347,3.806122448979592,23.59
1.989795918367347,3.8979591836734695,18.86
1.989795918367347,3.989795918367347,16.84
1.989795918367347,4.081632653061225,21.88
1.989795918367347,4.173469387755102,24.03
1.989795918367347,4.26530612244898,21.57
1.989795918367347,4.357142857142858,19.66
1.989795918367347,4.448979591836735,21.78
1.989795918367347,4.540816326530613,21.650000000000002
1.989795918367347,4.63265306122449,19.6
1.989795918367347,4.724489795918368,19.44
1.989795918367347,4.816326530612245,19.41
1.989795918367347,4.908163265306123,19.43
1.989795918367347,5.0,17.29
2.0306122448979593,0.5,84.57000000000001
2.0306122448979593,0.5918367346938775,149.99
